2,100,60 ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90,40        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,120,80,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,60,30,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,60,20       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,200,100,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,200,100,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,60,20      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,60,20 ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,45,30 ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,60,35       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,60,35       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,120,80       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,60,10       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,60,20       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,60,20       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,90,40       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,90,40       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,90,40       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,90,40      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,90,40       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,90,50      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,420,200,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,420,200,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,60,25        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,60,25       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,60,20      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,120,70      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,200,600,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,150,70        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,210,100,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,60,40   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
